Month,Sensex,BM,CD,EN,FM,FI,HC,IN,IT,TE,UT
Feb-06,0.0444,0.0364,0.0291,-0.0179,0.1233,0.0103,0.0769,0.067,-0.0115,0.01,0.0449
Mar-06,0.0841,0.1632,0.0783,0.1032,0.1158,0.0185,0.0822,0.0983,0.0838,0.1532,0.0817
Apr-06,0.0654,0.1513,0.0415,0.1518,0.0445,-0.0093,0.0095,0.0545,0.0011,0.0035,0.0193
May-06,-0.1468,-0.1939,-0.0884,-0.1015,-0.2018,-0.0885,-0.1394,-0.1507,-0.1023,-0.1274,-0.1576
Jun-06,0.0201,-0.0252,-0.0691,0.0347,0.0314,-0.0806,-0.0784,-0.0728,0.0273,0.0043,-0.053
Jul-06,0.0126,-0.0177,-0.028,-0.0478,-0.0361,0.0536,0.0298,-0.0235,0.054,-0.0035,-0.0079
Aug-06,0.0852,0.0687,0.0975,0.1243,0.0763,0.1035,0.0921,0.106,0.0815,0.0785,0.0726
Sep-06,0.0626,0.0721,0.1063,0.0296,0.0176,0.1357,0.0404,0.0679,0.0247,0.0959,0.0578
Oct-06,0.0399,0.041,0.0355,0.0402,-0.0083,0.0389,-0.0117,0.0539,0.093,0.085,0.0113
Nov-06,0.0551,0.0386,0.0567,0.0054,-0.0149,0.0866,0.0215,0.0539,0.0575,0.1268,0.0948
Dec-06,0.0066,0.0085,-0.0047,0.02,-0.0427,-0.0127,0.019,0.0268,0.0319,0.0063,-0.0373
Jan-07,0.0218,0.0047,0.0144,0.0673,-0.0146,0.0393,0.0032,0.0312,0.0047,0.1203,0.0491
Feb-07,-0.0854,-0.1213,-0.0995,-0.052,-0.0652,-0.1068,-0.0837,-0.0918,-0.0841,-0.0226,-0.0764
Mar-07,0.0103,-0.0493,-0.0199,0.0249,-0.0265,0.0094,0.0421,-0.0052,0.006,0.0733,0.0163
Apr-07,0.0594,0.1206,0.0504,0.1099,0.0347,0.0605,0.0145,0.0796,0.0309,0.0886,0.0632
May-07,0.0473,0.0376,0.0706,0.0882,0.0576,0.103,0.0369,0.0934,-0.0408,0.047,0.0395
Jun-07,0.0073,0.0426,-0.0162,-0.0229,-0.0418,0.0646,-0.0095,0.0651,0.004,0.0048,0.0534
Jul-07,0.0596,0.0838,0.0239,0.0665,0.0757,0.0243,-0.0232,0.0678,-0.0017,0.0647,0.1353
Aug-07,-0.0151,0.0094,-0.0308,0.0055,0.0004,-0.0275,-0.0399,-0.0034,-0.0586,-0.0286,-0.0231
Sep-07,0.1211,0.1638,0.0922,0.1528,0.0907,0.1932,0.0575,0.1032,0.0092,0.0797,0.2338
Oct-07,0.1374,0.1498,0.0738,0.206,-0.0162,0.1183,0.0375,0.2368,-0.002,0.151,0.2501
Nov-07,-0.0242,0.0069,0.0143,0.0645,0.0132,0.0312,-0.0274,0.0097,-0.0956,-0.0809,0.0499
Dec-07,0.0466,0.0933,0.157,0.0692,0.0738,0.0573,0.1448,0.0679,0.0761,0.0996,0.1372
Jan-08,-0.1393,-0.2614,-0.2202,-0.2166,-0.068,-0.094,-0.2039,-0.1844,-0.1996,-0.208,-0.2177
Feb-08,-0.004,0.0504,-0.0266,0.033,0.0482,-0.0435,0.0864,-0.0427,0.0402,-0.0424,-0.0497
Mar-08,-0.1166,-0.153,-0.1233,-0.0997,0.0069,-0.2513,-0.0207,-0.1505,-0.085,-0.0568,-0.1422
Apr-08,0.0999,0.1043,0.0741,0.1426,0.0721,0.1352,0.1052,0.0383,0.1834,0.1001,0.1189
May-08,-0.0517,0.0088,-0.0936,-0.0972,-0.0138,-0.124,0.0279,-0.0719,0.0858,-0.0189,-0.1062
Jun-08,-0.1984,-0.2356,-0.2523,-0.138,-0.1544,-0.2696,-0.0541,-0.2657,-0.1443,-0.2128,-0.282
Jul-08,0.0643,0.0076,0.0412,0.0645,0.0279,0.1014,-0.0006,0.1059,-0.0857,0.1,0.1527
Aug-08,0.0144,-0.0276,0.0262,-0.013,0.0351,0.0582,0.0353,0.0151,0.0724,-0.0539,0.0084
Sep-08,-0.1244,-0.2474,-0.1739,-0.0808,-0.0251,-0.098,-0.1606,-0.1603,-0.2481,-0.098,-0.1393
Oct-08,-0.273,-0.4445,-0.3549,-0.3822,-0.1828,-0.2674,-0.2788,-0.4329,-0.0783,-0.2645,-0.3375
Nov-08,-0.0737,-0.1727,-0.127,-0.1011,0.0732,-0.1037,0.0385,-0.1128,-0.1119,-0.0031,0.0301
Dec-08,0.0592,0.169,0.1389,0.0711,0.0259,0.1367,0.0268,0.1039,-0.1385,0.0895,0.1432
Jan-09,-0.0234,-0.0151,-0.0946,0.0357,0.0225,-0.0862,-0.0889,-0.1027,0.0038,-0.1412,-0.0113
Feb-09,-0.0582,-0.0398,-0.0376,-0.0309,0.0052,-0.1449,-0.044,-0.0692,-0.0648,-0.0167,-0.0368
Mar-09,0.0879,0.1607,0.0781,0.1465,-0.0034,0.0648,0.086,0.0949,0.0866,0.0278,0.0604
Apr-09,0.1609,0.1469,0.1466,0.1469,0.0284,0.2292,0.0807,0.2211,0.1529,0.1657,0.1252
May-09,0.2489,0.3526,0.3541,0.254,0.0008,0.3675,0.1133,0.42,0.1182,0.1765,0.2914
Jun-09,-0.009,-0.0079,-0.0279,-0.1058,0.0762,0.0068,0.0332,0.0414,0.0922,-0.035,-0.0436
Jul-09,0.078,0.1402,0.1569,0.0064,0.1907,0.04,0.0689,0.0332,0.1867,0.0162,0.0784
Aug-09,-0.0002,-0.0022,0.0453,0.0397,-0.0698,-0.0074,0.0249,0.0485,0.0517,0.0087,0.0001
Sep-09,0.0891,0.1025,0.0858,0.0673,0.0087,0.1408,0.1214,0.0514,0.0912,0.0202,0.0406
Oct-09,-0.0746,-0.0521,-0.0812,-0.0994,0.0866,-0.0536,-0.0062,-0.061,-0.0323,-0.3767,-0.0671
Nov-09,0.0628,0.1186,0.0527,0.0724,0.0222,0.0722,0.0854,0.0601,0.0723,0.0133,0.0591
Dec-09,0.0313,0.0752,0.0502,0.0222,-0.0284,-0.0021,0.0513,0.0625,0.0864,0.069,0.0424
Jan-10,-0.0655,-0.0649,-0.0439,-0.0496,-0.024,-0.0488,-0.0518,-0.0596,-0.0411,-0.0414,-0.0679
Feb-10,0.0044,0.0324,-0.0124,-0.0345,-0.0235,0.0173,0.0306,0.0132,0.0387,-0.072,-0.0381
Mar-10,0.0647,0.0937,0.0548,0.0565,0.0616,0.0723,0.0812,0.0573,0.0122,0.0827,0.0447
Apr-10,0.0018,-0.0034,0.0186,-0.0287,0.0163,0.0488,0.0031,0.0299,0.0227,-0.0395,0.0433
May-10,-0.0356,-0.1365,-0.0395,0.0216,0.0351,-0.0308,0.0269,-0.0557,-0.0348,-0.1322,-0.036
Jun-10,0.0437,-0.004,0.0698,0.068,0.0804,0.0264,0.046,0.0613,0.0275,0.0921,0.0359
Jul-10,0.0094,0.0373,0.0218,-0.0577,-0.0001,0.0597,-0.0267,0.0112,0.0288,0.0791,-0.0238
Aug-10,0.0057,0.0057,0.0155,-0.025,0.0469,0.0502,-0.0096,0.0112,-0.0183,0.0209,-0.0108
Sep-10,0.1104,0.1035,0.0759,0.0516,0.0942,0.1297,0.0783,0.0775,0.101,0.0832,0.0452
Oct-10,-0.0018,0.0007,0.0068,0.0447,-0.0313,0.0048,0.0704,0.0025,0.0077,-0.0653,-0.0299
Nov-10,-0.0258,-0.0571,-0.052,-0.0908,-0.0062,-0.0393,0.023,-0.0453,0.0168,0.009,-0.0592
Dec-10,0.0494,0.0856,0.0002,0.0549,0.0279,-0.0118,0.0227,0.009,0.1133,0.004,0.0364
Jan-11,-0.1125,-0.1038,-0.1411,-0.1177,-0.0902,-0.1214,-0.0767,-0.1317,-0.0688,-0.1103,-0.1091
Feb-11,-0.0279,-0.0554,-0.0688,-0.0006,0.0195,-0.0164,-0.0869,-0.0771,-0.0424,-0.0439,-0.0909
Mar-11,0.0871,0.0715,0.0981,0.0819,0.0466,0.1074,0.0521,0.0785,0.0698,0.1004,0.0847
Apr-11,-0.016,0.018,0.0345,-0.0234,0.0433,-0.0141,0.0341,-0.0055,-0.0636,0.0473,-0.006
May-11,-0.0336,-0.0505,-0.0169,-0.0388,0.0271,-0.0411,0.0254,-0.0238,-0.0247,-0.0295,-0.0544
Jun-11,0.0183,-0.0265,-0.0042,-0.0426,0.0474,0.0147,0.0008,0.0192,0.0175,0.0286,0.0117
Jul-11,-0.035,-0.034,0.013,-0.0538,0.0117,-0.0232,0.0036,-0.0561,-0.0444,0.0944,-0.0094
Aug-11,-0.0873,-0.113,-0.0409,-0.0544,-0.0357,-0.1161,-0.0741,-0.1062,-0.1422,-0.0891,-0.1017
Sep-11,-0.0135,-0.0478,-0.0049,0.0077,-0.01,-0.0157,-0.016,-0.0495,0.0413,-0.0615,-0.0305
Oct-11,0.0733,0.065,0.0537,0.0542,0.0706,0.0573,0.0447,0.035,0.0997,0.0283,0.0473
Nov-11,-0.0936,-0.1303,-0.1113,-0.0953,-0.0378,-0.131,-0.0133,-0.1514,-0.0581,-0.0214,-0.1086
Dec-11,-0.0423,-0.0829,-0.0692,-0.0861,-0.0014,-0.069,-0.031,-0.1204,0.045,-0.1141,-0.0532
Jan-12,0.1066,0.1722,0.0987,0.1329,0.0096,0.193,0.0763,0.2152,0.0045,0.1062,0.1234
Feb-12,0.032,0.0624,0.0709,0.029,0.0224,0.0446,0.0001,0.0617,0.0642,-0.0352,0.0628
Mar-12,-0.0198,-0.0315,-0.0128,-0.0708,0.0754,-0.0161,0.0446,-0.0209,-0.0129,-0.0395,-0.0568
Apr-12,-0.0049,-0.0423,0.011,-0.0013,0.0602,-0.0031,0.0253,-0.0105,-0.0641,-0.0965,-0.0534
May-12,-0.0656,-0.0725,-0.0717,-0.0546,-0.0423,-0.0733,-0.0224,-0.1232,-0.0067,-0.0467,-0.0898
Jun-12,0.072,0.0644,0.0548,0.0608,0.0874,0.0741,0.0353,0.0774,0.0173,0.011,0.0946
Jul-12,-0.0112,-0.0156,-0.0087,0.0116,0.0107,0.003,0.0368,-0.0467,-0.0757,-0.0112,-0.0351
Aug-12,0.0112,-0.0372,-0.0032,0.0043,0.0597,-0.0162,0.0484,-0.0205,0.0716,-0.1643,-0.0077
Sep-12,0.0737,0.0962,0.12,0.0492,0.0279,0.1182,0.0044,0.1378,0.031,0.0926,0.0837
Oct-12,-0.0138,-0.0244,-0.0061,-0.0312,0.0322,-0.0116,0.0122,-0.0175,-0.035,-0.0128,-0.0503
Nov-12,0.0441,0.0124,0.0605,-0.0082,0.0598,0.0801,0.0419,0.0366,0.0292,0.1997,0.0152
Dec-12,0.0045,0.0539,0.0228,0.0292,-0.0204,0.0256,0.0231,0.0223,-0.0353,-0.0358,0.0107
Jan-13,0.0238,-0.0413,-0.0179,0.0946,0.001,0.0003,-0.0143,-0.0378,0.1176,0.0663,-0.0256
Feb-13,-0.0533,-0.118,-0.0751,-0.0862,-0.0436,-0.0934,-0.0261,-0.104,0.0549,-0.0596,-0.0855
Mar-13,-0.0014,-0.0417,-0.0298,-0.037,0.0432,-0.0049,0.025,-0.0392,0.0192,-0.0883,-0.0542
Apr-13,0.0349,0.0073,0.0577,0.0396,0.101,0.0762,0.0819,0.0741,-0.1873,0.1383,0.0739
May-13,0.013,-0.0182,0.001,0.0002,0.0336,0.0032,0.0178,-0.014,0.0604,-0.0373,-0.0431
Jun-13,-0.0186,-0.0596,-0.0538,0.0186,-0.0475,-0.0645,-0.0002,-0.0649,0.0308,0.0004,-0.0595
Jul-13,-0.0026,-0.0962,-0.0192,-0.0405,0.0504,-0.1344,0.0255,-0.0751,0.1759,0.1597,-0.0741
Aug-13,-0.0382,0.0386,-0.0807,-0.0548,-0.0685,-0.1004,-0.012,-0.0727,0.0736,-0.1191,-0.0324
Sep-13,0.04,0.0772,0.0614,0.0123,0.0753,0.0629,0.0541,0.0841,-0.0237,0.0833,0.088
Oct-13,0.0881,0.0887,0.0888,0.0778,-0.0035,0.1508,0.0152,0.1329,0.0783,0.0924,0.0461
Nov-13,-0.0178,0.0203,0.0011,-0.0313,-0.0377,-0.0199,-0.0113,0.0591,-0.0075,-0.0645,-0.0078
Dec-13,0.0181,0.0338,0.0343,0.0249,0.0008,0.0175,0.0478,0.0197,0.0763,-0.0038,0.027
Jan-14,-0.0315,-0.0796,-0.0576,-0.0555,-0.0075,-0.0832,0.0143,-0.0797,0.0426,-0.0642,-0.0909
Feb-14,0.0291,-0.012,0.0344,-0.0057,-0.0052,0.0357,0.0697,0.0947,0.0328,-0.0795,-0.0063
Mar-14,0.0582,0.1443,0.1025,0.1267,0.0724,0.1476,-0.0723,0.1052,-0.108,0.0987,0.0915
Apr-14,0.0014,-0.0018,-0.0162,0.0095,-0.0303,0.0137,0.0647,0.0272,-0.0043,0.0151,-0.002
May-14,0.0772,0.172,0.1288,0.14,0.0148,0.1295,-0.0419,0.1653,-0.0345,0.0733,0.2261
Jun-14,0.0482,0.0864,0.0924,0.0195,-0.0278,0.0544,0.1054,0.0842,0.1002,0.0203,0.0854
Jul-14,0.0188,-0.0085,-0.0067,-0.0358,0.0713,0.0021,0.0739,-0.0448,0.0415,0.0552,-0.0765
Aug-14,0.0283,-0.0121,0.0445,0.0341,0.0318,0.0155,0.0791,0.0531,0.0347,-0.0137,-0.0502
Sep-14,-0.0003,-0.0165,0.0467,-0.045,0.0305,-0.0187,0.0719,-0.0274,0.0579,0.0579,-0.0093
Oct-14,0.0453,0.0254,0.0277,0.0341,-0.0177,0.0865,0.0001,0.0702,0.0013,-0.0018,0.0855
Nov-14,0.0293,-0.021,0.0413,-0.0225,0.0311,0.0756,0.0411,0.0262,0.0461,-0.0207,-0.023
Dec-14,-0.0425,-0.0282,-0.0063,-0.0816,0.0042,0.0068,-0.0178,-0.0369,-0.0572,-0.0554,-0.0446
Jan-15,0.0594,0.0265,0.0554,0.0225,0.0635,0.0575,0.0642,0.0943,0.0547,0.037,0.0358
Feb-15,0.0061,0.0169,-0.0222,-0.0305,-0.0064,0.0041,0.0119,0.0294,0.0683,-0.0346,0.0087
Mar-15,-0.049,-0.068,-0.027,-0.0436,-0.0561,-0.065,0.0864,-0.0352,-0.0484,0.0795,-0.0606
Apr-15,-0.0344,0.0038,-0.0367,0.0122,-0.0216,-0.0177,-0.0657,-0.04,-0.0911,-0.0163,-0.0276
May-15,0.0298,0.0087,0.0528,0.0403,0.0311,0.021,0.0432,0.006,0.0469,0.0923,-0.0151
