Continent,Country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,Severe
Asia,Afghanistan,36710,1284,943.015,32.984,38928341,54.422,18.6,2.581,1803.987,597.029,9.59,,,0.5,64.83,No
Europe,Albania,5519,166,1917.784,57.683,2877800,104.871,38,13.188,11803.431,304.195,10.08,7.1,51.2,2.89,78.57,No
Africa,Algeria,31465,1231,717.543,28.072,43851043,17.348,29.1,6.211,13913.839,278.364,6.73,0.7,30.4,1.9,76.88,No
Europe,Andorra,925,52,11971.785,673.008,77265,163.755,,,,109.135,7.97,29,37.8,,83.73,No
Africa,Angola,1148,52,34.929,1.582,32866268,23.89,16.8,2.405,5819.495,276.045,3.94,,,,61.15,No
North America,Anguilla,3,0,199.973,0,15002,,,,,,,,,,81.88,No
North America,Antigua and Barbuda,91,3,929.254,30.635,97928,231.845,32.1,6.933,21490.943,191.511,13.17,,,3.8,77.02,No
South America,Argentina,196530,3612,4348.415,79.919,45195777,16.177,31.9,11.198,18933.907,191.032,5.5,16.2,27.7,5,76.67,Yes
Asia,Armenia,39102,762,13195.718,257.151,2963234,102.931,35.7,11.232,8787.58,341.01,7.11,1.5,52.1,4.2,75.09,Yes
North America,Aruba,122,3,1142.686,28.099,106766,584.8,41.2,13.085,35973.781,,11.62,,,,76.29,No
Oceania,Australia,17923,208,702.866,8.157,25499881,3.202,37.9,15.504,44648.71,107.791,5.07,13,16.5,3.84,83.44,No
Europe,Austria,21309,718,2365.984,79.721,9006400,106.749,44.4,19.202,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,No
Asia,Azerbaijan,32443,462,3199.767,45.566,10139175,119.309,32.4,6.018,15847.419,559.812,7.11,0.3,42.5,4.7,73,No
North America,Bahamas,648,14,1647.815,35.601,393248,39.497,34.3,8.996,27717.847,235.954,13.17,3.1,20.4,2.9,73.92,No
Asia,Bahrain,41536,147,24410.211,86.39,1701583,1935.907,32.4,2.372,43290.705,151.689,16.52,5.8,37.6,2,77.29,Yes
Asia,Bangladesh,240746,3154,1461.819,19.151,164689383,1265.036,27.5,5.098,3523.984,298.003,8.38,1,44.7,0.8,72.59,Yes
North America,Barbados,132,7,459.337,24.359,287371,664.463,39.8,14.952,16978.068,170.05,13.57,1.9,14.5,5.8,79.19,No
Europe,Belarus,68067,567,7203.375,60.004,9449321,46.858,40.3,14.799,17167.967,443.129,5.18,10.5,46.1,11,74.79,Yes
Europe,Belgium,69756,9845,6018.836,849.467,11589616,375.564,41.8,18.571,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,Yes
North America,Belize,57,2,143.353,5.03,397621,16.426,25,3.853,7824.362,176.957,17.11,,,1.3,74.62,No
Africa,Benin,1805,36,148.888,2.97,12123198,99.11,18.8,3.244,2064.236,235.848,0.99,0.6,12.3,0.5,61.77,No
North America,Bermuda,156,9,2505.099,144.525,62273,1308.82,,,50669.315,139.547,13,,,,82.59,No
Asia,Bhutan,103,0,133.487,0,771612,21.188,28.6,4.885,8708.597,217.066,9.75,,,1.7,71.78,No
South America,Bolivia,80153,3153,6866.513,270.11,11673029,10.202,25.4,6.704,6885.829,204.299,6.89,,,1.1,71.51,Yes
North America,Bonaire Sint Eustatius and Saba,11,0,419.511,0,26221,,,,,,,,,,77.79,No
Europe,Bosnia and Herzegovina,12108,343,3690.546,104.547,3280815,68.496,42.5,16.569,11713.895,329.635,10.08,30.2,47.7,3.5,77.4,No
Africa,Botswana,804,2,341.891,0.85,2351625,4.044,25.8,3.941,15807.374,237.372,4.81,5.7,34.4,1.8,69.59,No
South America,Brazil,2733677,94104,12860.767,442.719,212559409,25.04,33.5,8.552,14103.452,177.961,8.11,10.1,17.9,2.2,75.88,Yes
North America,British Virgin Islands,9,1,297.649,33.072,30237,207.973,,,,,13.67,,,,79.07,No
Asia,Brunei,141,3,322.298,6.857,437483,81.347,32.4,4.591,71809.251,201.285,12.79,2,30.9,2.7,75.86,No
Europe,Bulgaria,11955,388,1720.529,55.84,6948445,65.18,44.7,20.801,18563.307,424.688,5.81,30.1,44.4,7.454,75.05,No
Africa,Burkina Faso,1150,53,55.015,2.535,20903278,70.151,17.6,2.409,1703.102,269.048,2.42,1.6,23.9,0.4,61.58,No
Africa,Burundi,395,1,33.219,0.084,11890781,423.062,17.5,2.562,702.225,293.068,6.05,,,0.8,61.58,No
Asia,Cambodia,240,0,14.355,0,16718971,90.672,25.6,4.412,3645.07,270.892,4,2,33.7,0.8,69.82,No
Africa,Cameroon,17255,387,650.007,14.579,26545864,50.885,18.8,3.165,3364.926,244.661,7.2,,,1.3,59.29,No
North America,Canada,116870,8945,3096.537,237.003,37742157,4.037,41.4,16.984,44017.591,105.599,7.37,12,16.6,2.5,82.43,Yes
Africa,Cape Verde,2547,24,4581.034,43.166,555988,135.58,25.7,4.46,6222.554,182.219,2.42,2.1,16.5,2.1,72.98,No
North America,Cayman Islands,203,1,3088.862,15.216,65720,256.496,,,49903.029,,13.22,,,,83.92,No
Africa,Central African Republic,4614,59,955.326,12.216,4829764,7.479,18.3,3.655,661.24,435.727,6.1,,,1,53.28,No
Africa,Chad,936,75,56.983,4.566,16425859,11.833,16.7,2.486,1768.153,280.995,6.1,,,,54.24,No
South America,Chile,359731,9608,18818.114,502.61,19116209,24.282,35.4,11.087,22767.037,127.993,8.46,34.2,41.5,2.11,80.18,Yes
Asia,China,87985,4669,61.129,3.244,1439323774,147.674,38.7,10.641,15308.712,261.899,9.74,1.9,48.4,4.34,76.91,No
South America,Colombia,317651,10650,6242.787,209.304,50882884,44.223,32.2,7.646,13254.949,124.24,7.44,4.7,13.5,1.71,77.29,Yes
Africa,Comoros,386,7,443.885,8.05,869595,437.352,20.4,2.963,1413.89,261.516,11.88,4.4,23.6,2.2,64.32,No
Africa,Congo,3387,56,613.799,10.148,5518092,15.405,19,3.402,4881.406,344.094,7.2,1.7,52.3,,64.57,No
