Player,Team,Init_group,Runs,Ave_Bat,Wickets,Econonmy
A Badoni,Lucknow Super Giants,Alrounder,161,20.12,2,5.5
A Manohar,Gujarat Titans,Batsman,108,18,0,36
A Nortje,Delhi Capitals,Bowler,1,0,9,9.71
A Tomar,Kolkata Knight Riders,Batsman,4,4,0,36
Abdul Samad,Sunrisers Hyderabad,Batsman,4,2,0,8
Abhishek Sharma,Sunrisers Hyderabad,Alrounder,426,30.42,0,9.5
AD Russell,Kolkata Knight Riders,Alrounder,335,37.22,17,9.86
AF Milne,Chennai Super Kings,Bowler,0,0,0,7.6
AJ Finch,Kolkata Knight Riders,Batsman,86,17.2,0,36
AJ Tye,Lucknow Super Giants,Bowler,0,0,2,9.72
AK Markram,Sunrisers Hyderabad,Batsman,381,47.62,1,10.66
Akash Deep,Royal Challengers Bangalore,Bowler,0,0,5,10.88
AM Rahane,Kolkata Knight Riders,Batsman,133,19,0,36
Aman Hakim Khan,Kolkata Knight Riders,Batsman,5,5,0,13
Anmolpreet Singh,Mumbai Indians,Batsman,13,6.5,0,36
Anuj Rawat,Royal Challengers Bangalore,Batsman,129,16.12,0,36
AR Patel,Delhi Capitals,Alrounder,182,45.5,6,7.46
Arshdeep Singh,Punjab Kings,Bowler,21,7,10,7.7
AS Joseph,Gujarat Titans,Bowler,5,5,7,8.8
AS Roy,Kolkata Knight Riders,Alrounder,0,0,1,7.85
AT Rayudu,Chennai Super Kings,Batsman,274,24.9,0,36
Avesh Khan,Lucknow Super Giants,Bowler,22,22,18,8.72
B Indrajith,Kolkata Knight Riders,Batsman,21,7,0,36
B Kumar,Sunrisers Hyderabad,Bowler,24,8,12,7.34
B Sai Sudharsan,Gujarat Titans,Batsman,145,36.25,0,36
Basil Thampi,Mumbai Indians,Bowler,0,0,5,9.5
C Sakariya,Delhi Capitals,Bowler,0,0,3,7.63
CJ Jordan,Chennai Super Kings,Bowler,11,11,2,10.51
CV Varun,Kolkata Knight Riders,Bowler,12,0,6,8.51
D Brevis,Mumbai Indians,Batsman,161,23,1,16
D Padikkal,Rajasthan Royals,Batsman,376,22.11,0,36
D Pretorius,Chennai Super Kings,Alrounder,44,11,6,10
DA Miller,Gujarat Titans,Batsman,481,68.71,0,36
DA Warner,Delhi Capitals,Batsman,432,48,0,36
DG Nalkande,Gujarat Titans,Alrounder,0,0,2,11.41
DJ Bravo,Chennai Super Kings,Alrounder,23,11.5,16,8.7
DJ Hooda,Lucknow Super Giants,Alrounder,451,32.21,1,10.75
DJ Mitchell,Rajasthan Royals,Batsman,33,16.5,0,13.5
DJ Willey,Royal Challengers Bangalore,Bowler,18,9,1,6.54
DP Conway,Chennai Super Kings,Batsman,252,42,0,36
DR Sams,Mumbai Indians,Alrounder,38,5.42,13,8.8
E Lewis,Lucknow Super Giants,Batsman,73,24.33,0,36
F du Plessis,Royal Challengers Bangalore,Batsman,468,31.2,0,36
FA Allen,Mumbai Indians,Alrounder,8,8,1,11.5
Fazalhaq Farooqi,Sunrisers Hyderabad,Bowler,2,0,2,9.16
GJ Maxwell,Royal Challengers Bangalore,Alrounder,301,27.36,6,6.87
Harpreet Brar,Punjab Kings,Batsman,22,7.33,4,9.12
HE van der Dussen,Rajasthan Royals,Batsman,22,11,0,36
HH Pandya,Gujarat Titans,Alrounder,487,44.27,8,7.27
HR Shokeen,Mumbai Indians,Alrounder,43,21.5,2,8.46
HV Patel,Royal Challengers Bangalore,Bowler,43,8.6,19,7.66
Ishan Kishan,Mumbai Indians,Batsman,418,32.15,0,36
J Suchith,Sunrisers Hyderabad,Bowler,2,1,7,7.77
JC Buttler,Rajasthan Royals,Batsman,863,57.53,0,36
JD Unadkat,Mumbai Indians,Bowler,59,19.66,6,9.5
JDS Neesham,Rajasthan Royals,Alrounder,31,15.5,0,9.66
JJ Bumrah,Mumbai Indians,Bowler,0,0,15,7.18
JM Bairstow,Punjab Kings,Batsman,253,23,0,36
JM Sharma,Punjab Kings,Batsman,234,29.25,0,36
JO Holder,Lucknow Super Giants,Alrounder,58,9.66,14,9.42
JR Hazlewood,Royal Challengers Bangalore,Bowler,18,0,20,8.1
K Gowtham,Lucknow Super Giants,Alrounder,0,0,5,8.25
K Kartikeya,Mumbai Indians,Bowler,3,3,5,7.84
K Rabada,Punjab Kings,Bowler,48,9.6,23,8.45
KA Pollard,Mumbai Indians,Alrounder,144,14.4,4,8.92
