hp,mpg,disp,qsec
110,21,160,16.46
110,21,160,17.02
93,22.8,108,18.61
110,21.4,258,19.44
175,18.7,360,17.02
105,18.1,225,20.22
245,14.3,360,15.84
62,24.4,146.7,20
95,22.8,140.8,22.9
123,19.2,167.6,18.3
123,17.8,167.6,18.9
180,16.4,275.8,17.4
180,17.3,275.8,17.6
180,15.2,275.8,18
205,10.4,472,17.98
215,10.4,460,17.82
230,14.7,440,17.42
66,32.4,78.7,19.47
52,30.4,75.7,18.52
65,33.9,71.1,19.9
97,21.5,120.1,20.01
150,15.5,318,16.87
150,15.2,304,17.3
245,13.3,350,15.41
175,19.2,400,17.05
66,27.3,79,18.9
91,26,120.3,16.7
113,30.4,95.1,16.9
264,15.8,351,14.5
175,19.7,145,15.5
335,15,301,14.6
109,21.4,121,18.6
