,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,276300,294400,321000,335200,333400,341900,425500,389800,366100,354100,347400,340000,344600,347000,338100,350500,360700,368400,375000,387600,402799,409620,419417,430490,429404,416862,413057,399252,395719,383003,383487,371128,348503,323803,312489,300513,289399,294544,315346,327634,326366,317079,329009,343435,356820,351999,352192,363396,361547,377378,391614,379105,371910,375776,367210,373173,372227,365272,364369,358862
21,284000,280100,292500,322600,337800,337800,342600,429100,391200,369000,355500,348200,341300,345200,347800,340200,352000,361600,369600,376200,389098,399713,408782,420256,430476,428487,416998,413084,399972,396608,382670,382866,370499,347370,324108,312776,301561,291021,295413,314415,328247,330054,320737,335933,349649,362081,360124,354610,364755,371264,387925,395786,382934,378275,383113,374818,378237,379090,371626,372800
22,288100,286300,277900,294000,325000,339800,339400,343000,432500,393100,369600,356400,348700,341800,345300,349200,341800,351500,363000,370900,378399,383466,398272,409094,419703,428461,427114,415704,412522,399759,395386,381827,382462,369772,348386,324954,313722,303354,293684,297357,317041,333455,334337,330817,345101,356323,371861,365381,355441,375503,382973,392853,399816,389014,385653,390705,379254,384953,385032,380425
23,292600,294900,291600,279300,296300,327800,342400,339500,344200,433600,396200,370200,357500,348600,342300,346500,348900,340400,351200,361100,369099,371671,380975,400373,408518,418102,427253,425383,413654,411968,398597,394111,380705,381283,370650,349138,325967,314903,307029,297420,303075,323222,339045,345278,342246,353673,366860,377720,368025,365626,386756,387022,396916,405559,395818,393014,394683,385545,389905,392652
24,292000,300700,299700,297900,281600,299900,329800,343400,340100,344300,435200,396800,369600,357600,347800,341900,345800,347900,339900,350100,356999,362296,368588,383086,400643,407278,416933,425466,422760,414861,410699,397213,392443,379101,381628,370881,349550,326503,318488,310979,304482,308981,329083,350813,356763,352170,365413,372506,380328,379524,375340,389328,389408,400763,411283,402062,394783,398777,388132,395417
25,291700,298800,302200,303500,300900,286700,302000,329400,342600,339500,345800,435800,396300,369000,357200,347000,340300,344500,347000,338400,347705,350295,359376,371049,383475,400421,406569,415537,423827,424686,413096,410269,396651,391824,380858,383341,371715,351102,331249,325109,317573,311594,314522,335086,360085,363825,361385,372309,372073,382955,385830,378222,391983,393300,405948,417030,404149,398344,401477,392703
26,289200,295900,298700,302100,302700,303400,286700,300000,328500,342800,340700,345000,434300,395500,368700,356900,345800,338900,343700,344500,335804,342118,348163,361119,370905,382668,400041,405024,414145,423778,421976,412078,409172,396082,393641,382103,383767,372633,355029,336914,331340,323600,317014,319456,344005,367605,372470,369315,373041,374388,388744,387569,380756,395587,397787,411124,418059,406516,399460,404559
27,282500,292500,295100,298700,301500,304900,303300,284100,298300,327900,342800,341000,343800,433400,395500,368300,355700,344600,338000,343100,341605,332086,341310,349633,361483,370208,381992,399164,404148,413591,421759,419822,411066,408601,397640,394283,382514,384705,376256,360360,342807,336643,328392,321618,326962,351224,376389,380055,371352,376282,379580,390186,389805,383485,399930,402765,411787,419212,407271,402925
28,287300,285500,290700,294800,298000,303400,304600,301700,281500,296700,326300,342100,340400,342600,433300,394700,366700,354800,344100,336300,340805,338222,331744,342657,349800,360945,369536,380784,398475,403784,412151,418678,417763,410491,410299,399112,394354,383046,387723,380973,365262,348022,341242,332623,329247,333402,360047,384633,382088,375988,382535,380237,391796,392176,387025,404393,403210,412432,419256,409830
29,295200,290300,283500,289800,293500,299700,302900,303500,299300,279200,297900,325700,342100,338800,341900,432600,393300,365400,354000,343100,334206,337355,337517,332852,342562,349253,360324,368137,380340,398504,401832,410169,416712,417008,411861,411063,399581,395124,385889,392258,384910,369781,352349,344845,339243,335100,340599,367826,387293,386365,383017,383457,382003,394195,396008,391582,405227,404407,412201,421276
