Policy,Location,Occupancy,Claim.Size,Claimed
1,M,TM,172,0
2,G,TM,95,0
3,K,TG,57,1
4,T,DW,29,1
5,G,TM,86,0
6,M,TG,64,1
7,A,HG,29,0
8,T,TG,89,1
9,G,TM,177,0
10,K,TG,91,0
11,M,DW,45,0
12,T,TG,87,0
13,M,TM,121,1
14,A,TM,37,1
15,A,DW,27,0
16,M,HG,31,0
17,K,TG,39,0
18,G,TM,57,1
19,M,TG,25,0
20,K,CS,29,1
21,M,HG,28,0
22,G,CS,23,0
23,K,DW,19,1
24,T,HG,37,1
25,A,CS,28,1
26,A,HG,27,0
27,M,CS,79,0
28,T,TG,88,1
29,T,DW,41,0
30,A,DW,53,0
31,G,TM,71,1
32,G,TM,97,0
33,K,DW,19,1
34,A,CS,21,0
35,M,TG,92,0
36,K,HG,79,0
37,G,DW,41,1
38,M,TM,113,1
39,T,HG,29,1
40,A,TM,36,0
41,M,TG,81,0
42,G,HG,37,0
43,K,CS,22,0
44,A,TG,68,0
45,M,TM,85,1
46,K,TG,61,0
47,T,TG,59,1
48,K,DW,25,0
49,G,TM,112,0
50,A,CS,31,0
51,M,CS,19,1
52,K,TG,59,1
53,A,TG,49,0
54,T,DW,26,0
55,G,HG,39,0
56,M,CS,21,0
57,T,TG,66,1
58,A,HG,57,1
59,K,TG,67,0
60,G,TM,90,0
61,K,HG,69,0
62,M,DW,46,0
63,K,TG,68,1
64,A,CS,25,1
65,G,TM,89,0
66,M,DW,38,0
67,T,CS,29,0
68,A,TM,97,1
69,G,CS,25,0
70,A,TG,49,0
71,G,TM,91,0
72,M,TM,97,0
73,M,CS,23,1
74,K,CS,21,1
75,G,TM,92,0
76,M,DW,29,0
77,T,TG,65,0
78,G,HG,41,0
79,M,TG,59,1
80,M,TM,88,0
81,K,CS,22,0
82,T,TG,62,1
83,A,HG,38,1
84,K,HG,41,0
85,G,TG,77,0
86,M,TM,87,1
87,K,CS,29,1
88,A,HG,37,0
89,T,TG,79,0
90,G,TM,91,1
91,A,CS,27,0
92,M,TM,96,0
93,G,HG,25,1
94,K,TM,104,0
95,G,TG,61,0
96,A,TG,63,1
97,G,TM,121,0
98,K,CS,23,0
99,M,DW,33,0
100,T,HG,25,1
101,A,HG,36,0
102,M,TG,65,0
103,K,TG,59,1
104,G,TM,111,1
105,M,TM,131,0
106,A,TG,69,0
107,T,TG,65,1
108,K,HG,41,1
109,G,DW,27,0
110,M,TM,98,0
111,G,TG,69,0
112,M,TM,79,1
113,K,CS,21,0
114,A,TG,49,0
115,T,DW,38,0
116,M,TG,56,0
117,G,TM,116,1
118,K,TG,71,1
119,M,CS,32,0
120,G,TG,59,0
121,T,DW,32,0
122,G,DW,44,1
123,K,TG,71,1
124,A,TG,69,0
125,G,TM,68,1
126,M,CS,25,0
127,K,DW,41,0
128,K,TG,67,1
129,G,TM,131,1
130,M,TM,106,0
131,A,TG,77,0
132,M,TG,68,0
133,G,CS,18,1
134,G,TM,103,1
135,T,CS,27,0
136,M,TM,112,0
137,K,DW,29,0
138,G,TG,67,1
139,M,TM,98,1
140,T,TG,65,0
141,M,TG,67,0
142,G,TM,88,0
143,T,DW,38,1
144,A,TG,64,0
145,M,DW,41,0
146,K,DW,43,0
147,T,TG,70,1
148,G,HG,32,1
149,M,TM,69,0
150,A,TG,61,0
151,G,CS,24,0
152,T,HG,29,0
153,G,TM,68,0
154,T,TG,57,1
155,A,TG,59,1
156,M,TM,99,0
157,K,CS,19,0
158,M,TG,49,0
159,T,HG,35,0
160,G,TM,97,1
161,M,DW,36,0
162,T,TM,95,0
163,M,HG,33,0
164,K,CS,28,1
165,G,TM,67,1
166,M,HG,25,1
167,G,TM,79,0
168,T,CS,21,0
169,M,CS,29,0
170,K,DW,49,0
171,M,TM,78,1
172,G,TG,97,1
173,K,CS,22,0
174,T,HG,33,0
175,A,TG,60,0
176,K,TM,118,0
177,M,DW,42,1
178,A,CS,28,1
179,G,TM,92,0
180,A,TG,61,0
181,M,CS,27,0
182,K,TM,116,0
183,T,TG,63,1
184,M,HG,41,0
185,A,TM,161,1
186,G,HG,40,0
187,T,DW,45,0
188,A,TG,65,1
189,M,HG,39,0
190,G,TM,99,1
191,K,DW,27,0
192,T,TM,121,0
