w1,w2,default
-1,0.484261226,0
1,0.899179706,0
0,-0.214628872,0
1,-0.764154409,0
-1,-0.553289226,0
1,-0.980863573,1
-1,-0.839773485,0
-1,0.544538373,0
0,0.986804446,0
1,0.310987764,1
0,-0.068614527,0
-1,0.979925956,0
1,-0.090103829,1
1,-0.131200459,1
-1,-0.915322508,0
0,0.28522308,0
-1,-0.542162186,0
0,-0.345021372,0
1,-0.995481808,1
-1,-0.095562072,0
-1,-0.153492318,0
1,0.31577994,0
0,-0.444950374,0
-1,-0.02643147,0
0,0.703326658,0
1,-0.125246764,1
0,0.426952148,0
-1,-0.622415168,0
-1,0.177989327,0
1,-0.286165699,1
-1,0.835178197,0
0,0.013979987,0
1,-0.177639694,1
-1,-0.407336902,0
0,-0.606496109,0
-1,-0.844658417,0
1,-0.789936755,1
0,0.234370066,0
-1,-0.078103209,0
1,-0.40190349,1
0,-0.922591347,0
-1,0.513967322,0
1,0.370454531,0
0,-0.586146441,0
-1,0.376195496,0
0,-0.744406822,0
1,-0.222144214,0
1,0.164900614,1
-1,0.100526488,0
0,0.994276807,0
-1,0.76020147,0
0,-0.067554977,0
-1,-0.96765651,0
1,0.924290299,1
0,-0.658628153,0
1,-0.88346631,0
0,-0.594794354,0
0,0.815321007,0
1,-0.799547082,1
-1,0.764929446,0
0,-0.563886882,0
1,-0.399784751,1
-1,-0.085474245,0
0,0.75239119,0
1,0.926870665,1
0,-0.634683141,0
1,0.954794818,0
-1,0.616867311,0
1,-0.416476562,0
-1,-0.34292255,0
1,-0.020940729,0
-1,0.864576843,0
0,-0.881540674,0
1,-0.909847273,1
-1,0.914155726,0
0,0.337973468,0
1,0.290608393,0
0,-0.964374175,0
1,0.173702805,1
-1,-0.725598702,0
-1,-0.315196447,0
1,0.298844866,0
0,-0.794126683,0
1,-0.463205179,0
1,-0.720798966,0
0,-0.839076024,0
1,-0.200109432,0
1,0.151480679,1
-1,-0.093812138,0
1,-0.197415148,0
-1,0.713770607,0
1,-0.800834082,1
0,-0.970006164,0
-1,-0.256875516,0
-1,-0.923158803,0
1,0.163943789,0
0,0.503103364,0
1,-0.008297266,1
-1,-0.609804924,0
0,0.129940309,0
-1,0.484261226,0
1,0.899179706,0
0,-0.214628872,0
1,-0.764154409,0
-1,-0.553289226,0
1,-0.980863573,1
-1,-0.839773485,0
-1,0.544538373,0
0,0.986804446,0
1,0.310987764,1
0,-0.068614527,0
-1,0.979925956,0
1,-0.090103829,1
1,-0.131200459,1
-1,-0.915322508,0
0,0.28522308,0
-1,-0.542162186,0
0,-0.345021372,0
1,-0.995481808,1
-1,-0.095562072,0
-1,-0.153492318,0
1,0.31577994,0
0,-0.444950374,0
-1,-0.02643147,0
0,0.703326658,0
